gene_name,VDR_score,GR_score,VDR_dominant,承認済,P1止まり,P1→II通過率,pred_prob_A,pred_passrate
TP53,117.95,58.06,True,0,0,1.0,0.5809125334499197,0.9159467839564875
TNF,36.86,19.49,True,5,0,1.0,0.580556348514791,0.9702677249679064
LAG3,45.93,18.9,True,1,0,1.0,0.58004124131033,0.9598255452251742
PTH1R,47.2,234.52,False,6,0,1.0,0.5799027658923797,0.9148097957867366
MAP3K8,21.09,12.13,True,0,0,1.0,0.5779206963195851,0.8825874649424826
TNFRSF9,61.43,101.64,False,0,0,1.0,0.5778780234517493,0.9632302097925226
CD80,11.29,0.0,True,2,0,1.0,0.5772585298485295,0.9386249673341428
HAVCR2,54.67,56.32,False,0,0,1.0,0.5768105669662297,0.958989650055273
ITK,54.67,56.32,False,1,0,1.0,0.5768105669662297,0.958989650055273
GSR,40.43,160.48,False,2,0,1.0,0.5766262078775688,0.8531477263210404
CCR1,68.06,18.84,True,0,0,1.0,0.5751161364655845,0.9814881684790457
PPP3CA,141.59,11.37,True,1,0,1.0,0.5742960225522191,0.9347733798772407
NLRP3,55.77,33.38,True,0,0,1.0,0.5728944715597943,0.9603510617861442
IL6R,99.59,82.9,True,2,0,1.0,0.5728031689303172,0.9170731042920763
HDAC1,53.58,41.17,True,1,0,1.0,0.5715025439082922,0.9289553980942219
C5AR1,33.52,55.76,False,1,0,1.0,0.5674857950538088,0.9400053570519686
TNFSF14,35.06,90.67,False,0,0,1.0,0.5671375938337064,0.9132621334564397
HDAC11,64.61,65.73,False,0,0,1.0,0.5641641120311401,0.9296242529067532
ITGB7,62.27,17.23,True,0,0,1.0,0.5634819540413641,0.9628296747042513
GHR,57.7,0.0,True,6,0,1.0,0.562401594925973,0.9562920919976328
NR3C1,56.91,9.43,True,64,1,0.987,0.5611317423307314,0.9587780090736464
LTB4R,157.15,54.63,True,0,0,1.0,0.5586930052400269,0.9618362257785282
VKORC1,120.19,48.52,True,5,0,1.0,0.5524889668559949,0.9370673993156504
CXCR4,27.15,141.98,False,2,1,0.875,0.5518415900407736,0.8998987661453046
CXCR2,69.42,8.12,True,0,0,1.0,0.550462712664478,0.9869697952228511
IL1A,75.78,18.7,True,0,0,1.0,0.5501340466264003,0.9860061739689125
PTK2B,53.18,61.62,False,0,1,0.5,0.5462094235985896,0.896419001366147
CD14,207.55,155.41,True,0,0,1.0,0.5448271677684458,0.9314927931066964
INPP5D,179.9,33.08,True,0,0,1.0,0.54460855048661,0.9597179038859506
