gene,VDR_score,GR_score,VDR_celltypes,GR_celltypes,VDR_base_cells,GR_base_cells,VDR_experiments,GR_experiments,VDR_repro,GR_repro,VDR_dominant,repro_ratio,status
LOXL2,13.09,2.82,1,5,1.0,4.0,1.0,4.0,0.1,0.1081081081081081,True,-0.1026044852343513,other
ADRA1A,7.35,0.0,1,1,1.0,1.0,1.0,2.0,0.1,0.054054054054054,True,0.780141735367988,other
PTK2B,53.18,61.62,4,26,3.0,17.0,3.0,19.0,0.3,0.5135135135135135,False,-0.7559585625874288,other
EPHX2,12.61,0.0,4,5,4.0,5.0,3.0,8.0,0.3,0.2162162162162162,True,0.4545658634654811,other
GSR,40.43,160.48,7,49,7.0,28.0,5.0,26.0,0.5,0.7027027027027027,False,-0.4828031482641149,other
FGFR1,7.25,63.29,4,17,4.0,11.0,4.0,12.0,0.4,0.3243243243243243,False,0.2943755852706636,other
IDO1,0.0,0.0,0,3,0.0,2.0,0.0,2.0,0.0,0.054054054054054,False,-2.679289883269309,other
IKBKB,17.32,72.67,3,22,3.0,15.0,2.0,14.0,0.2,0.3783783783783784,False,-0.8870735580496263,other
CA1,0.0,2.45,0,2,0.0,2.0,0.0,2.0,0.0,0.054054054054054,False,-2.679289883269309,other
CA2,12.79,21.88,2,11,2.0,8.0,2.0,11.0,0.2,0.2972972972972973,False,-0.5492457504845378,other
PTK2,21.61,43.0,4,27,3.0,17.0,3.0,17.0,0.3,0.4594594594594595,False,-0.5987323626945678,other
JAK2,21.27,62.01,2,11,2.0,7.0,2.0,9.0,0.2,0.2432432432432432,False,-0.2701344492514768,other
CD274,186.2,80.45,11,10,7.0,6.0,6.0,8.0,0.6,0.2162162162162162,True,1.431106890641492,approved
IL33,0.0,3.73,0,4,0.0,4.0,0.0,2.0,0.0,0.054054054054054,False,-2.679289883269309,approved
TYRP1,7.57,46.17,1,9,1.0,4.0,1.0,4.0,0.1,0.1081081081081081,False,-0.1026044852343513,other
TEK,0.0,0.0,0,2,0.0,2.0,0.0,2.0,0.0,0.054054054054054,False,-2.679289883269309,other
NTRK2,4.45,0.0,1,2,1.0,2.0,1.0,4.0,0.1,0.1081081081081081,True,-0.1026044852343513,other
SYK,55.92,6.88,5,9,5.0,7.0,4.0,9.0,0.4,0.2432432432432432,True,0.6951001325878468,other
ABL1,34.44,83.06,2,11,2.0,7.0,2.0,7.0,0.2,0.1891891891891892,False,0.0762499793126403,other
CACNA1B,0.0,0.0,0,2,0.0,2.0,0.0,3.0,0.0,0.081081081081081,False,-3.1871514155529086,other
MAP3K8,21.09,12.13,3,24,3.0,15.0,3.0,21.0,0.3,0.5675675675675675,True,-0.897721516643986,other
RET,3.91,27.19,1,0,1.0,0.0,1.0,0.0,0.1,0.0,False,3.4594316186372973,other
ALOX5,3.77,14.06,1,5,1.0,4.0,1.0,4.0,0.1,0.1081081081081081,False,-0.1026044852343513,other
CDK1,9.43,58.92,3,13,3.0,9.0,3.0,8.0,0.3,0.2162162162162162,False,0.4545658634654811,other
SIRT1,41.02,239.18,7,20,6.0,15.0,5.0,17.0,0.5,0.4594594594594595,False,0.1194966688900526,other
CYP26A1,5.39,9.63,2,10,2.0,8.0,2.0,10.0,0.2,0.2702702702702703,False,-0.4164293904055157,other
ADRB1,3.23,169.87,1,16,1.0,12.0,1.0,14.0,0.1,0.3783783783783784,False,-1.8199593621910897,other
FGFR2,5.13,13.28,1,4,1.0,3.0,1.0,3.0,0.1,0.081081081081081,False,0.2722802030843886,other
MS4A1,0.0,8.92,0,5,0.0,5.0,0.0,5.0,0.0,0.1351351351351351,False,-3.859324912356463,approved
PTGDR2,5.28,3.67,2,4,2.0,4.0,2.0,4.0,0.2,0.1081081081081081,True,0.8302813189071119,other
CHRM1,0.0,43.55,0,11,0.0,8.0,0.0,9.0,0.0,0.2432432432432432,False,-4.662451872030237,other
PGR,6.14,0.0,1,6,1.0,5.0,1.0,6.0,0.1,0.1621621621621621,True,-0.6462645779900534,other
MMP7,6.07,39.99,1,7,1.0,7.0,1.0,7.0,0.1,0.1891891891891892,False,-0.8566358248288228,other
MMP8,3.93,56.14,2,7,2.0,6.0,2.0,6.0,0.2,0.1621621621621621,False,0.2866212261514095,other
MMP1,0.0,0.0,0,2,0.0,2.0,0.0,2.0,0.0,0.054054054054054,False,-2.679289883269309,other
MMP12,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0.0,0.027027027027027,False,-1.888578717331577,other
MMP13,0.0,13.01,1,13,1.0,10.0,1.0,6.0,0.1,0.1621621621621621,False,-0.6462645779900534,other
CASP1,0.0,0.0,0,2,0.0,2.0,0.0,2.0,0.0,0.054054054054054,False,-2.679289883269309,other
IL18,10.77,91.56,1,22,1.0,12.0,1.0,11.0,0.1,0.2972972972972973,False,-1.4821315546260008,ongoing
DRD2,0.0,3.32,1,3,1.0,3.0,1.0,3.0,0.1,0.081081081081081,False,0.2722802030843886,other
CD3E,0.0,14.1,0,1,0.0,1.0,0.0,1.0,0.0,0.027027027027027,False,-1.888578717331577,other
CHEK1,21.53,17.93,4,12,4.0,9.0,4.0,10.0,0.4,0.2702702702702703,True,0.5488051914338078,other
CD27,4.22,52.71,1,8,1.0,6.0,1.0,7.0,0.1,0.1891891891891892,False,-0.8566358248288228,other
LAG3,45.93,18.9,2,11,2.0,6.0,2.0,6.0,0.2,0.1621621621621621,True,0.2866212261514095,approved
CD4,0.0,0.0,0,1,0.0,1.0,0.0,1.0,0.0,0.027027027027027,False,-1.888578717331577,other
PDE3A,11.67,0.0,1,2,1.0,2.0,1.0,4.0,0.1,0.1081081081081081,True,-0.1026044852343513,other
IRAK4,51.38,19.32,4,13,4.0,9.0,4.0,10.0,0.4,0.2702702702702703,True,0.5488051914338078,other
VDR,30.94,15.24,4,14,4.0,9.0,4.0,6.0,0.4,0.1621621621621621,True,1.251855807990733,other
ITGB7,62.27,17.23,3,9,3.0,6.0,2.0,6.0,0.2,0.1621621621621621,True,0.2866212261514095,approved
GPR84,25.04,84.67,3,29,3.0,18.0,3.0,17.0,0.3,0.4594594594594595,False,-0.5987323626945678,other
PMEL,54.0,325.5,5,20,5.0,13.0,5.0,13.0,0.5,0.3513513513513513,False,0.4970949575070926,other
ERBB3,16.13,14.69,5,19,5.0,12.0,4.0,11.0,0.4,0.2972972972972973,True,0.4159888313547856,other
CDK4,41.56,62.24,7,24,6.0,16.0,6.0,17.0,0.6,0.4594594594594595,False,0.3778086644814432,other
