gene,VDR_score,GR_score,log_VDR,log_GR,VDR_repro,GR_repro,VDR_dominant,status,pred_prob
DHODH,19.91,36.24,3.0402275134405423,3.617383452408866,0.2,0.2432432432432432,False,other,0.5529480633834686
PPP3CA,141.59,11.37,4.959973379294028,2.5152741864043966,0.6,0.2972972972972973,True,other,0.5504673606773994
MMP7,6.07,39.99,1.9558604799084813,3.7133281345162463,0.1,0.1891891891891892,False,other,0.54974444406924
NR3C2,19.75,18.02,3.0325462466767075,2.9454910571172443,0.2,0.2162162162162162,True,other,0.5484867390095065
PTH1R,47.2,234.52,3.8753590210565547,5.461795835540512,0.3,0.3783783783783784,False,other,0.5477458582293687
CHRM3,11.74,0.0,2.5447466501440172,0.0,0.2,0.054054054054054,True,other,0.5476267822378443
IRAK4,51.38,19.32,3.958524839079566,3.011605622710281,0.4,0.2702702702702703,True,other,0.5461852096740925
NTRK1,10.46,79.17,2.4388627112865935,4.38414938005486,0.4,0.2432432432432432,False,other,0.5456010269841902
CD27,4.22,52.71,1.6524974018945473,3.983599203917368,0.1,0.1891891891891892,False,other,0.5434170890497454
JAK3,10.18,31.66,2.414126467726953,3.486151087542319,0.1,0.2162162162162162,False,other,0.5383257058258667
IL6R,99.59,82.9,4.611052849146247,4.429625613473161,0.5,0.3783783783783784,True,approved,0.5373973101038121
ESR1,0.0,18.72,0.0,2.9816333491744893,0.0,0.054054054054054,False,other,0.5373681034388947
PTGIR,2.74,12.14,1.3190856114264407,2.5756610130564646,0.2,0.1081081081081081,False,other,0.5370748224534749
IL31RA,6.13,59.84,1.9643112344262046,4.1082474673910925,0.2,0.2162162162162162,False,approved,0.536909570300736
IL6,3.51,56.98,1.506297153514587,4.06009812349351,0.2,0.1891891891891892,False,other,0.5343414920095568
SYK,55.92,6.88,4.041646773221651,2.064327903869788,0.4,0.2432432432432432,True,other,0.533704173278261
CD28,0.0,54.88,0.0,4.023206534388761,0.0,0.1081081081081081,False,other,0.5299091676620636
ALDH5A1,4.22,24.85,1.6524974018945473,3.2523106009544382,0.3,0.1621621621621621,False,other,0.5298506869931369
HDAC1,53.58,41.17,3.9996675152801924,3.7417090677584683,0.3,0.3243243243243243,True,other,0.528878312970655
MADCAM1,277.19,109.23,5.628304333480244,4.702569091975224,0.5,0.4594594594594595,True,other,0.5279718894563428
TP53,117.95,58.06,4.778703236748966,4.078553876315777,0.6,0.3783783783783784,True,other,0.5273318335641047
RARB,0.0,89.36,0.0,4.5038016915998025,0.0,0.1351351351351351,False,other,0.5241204540277797
ADRA1A,7.35,0.0,2.122261538862764,0.0,0.1,0.054054054054054,True,other,0.5228823046328664
OPRD1,0.0,24.67,0.0,3.245322994883049,0.0,0.081081081081081,False,other,0.5205073945625567
PTGDR2,5.28,3.67,1.8373699804801074,1.541159071680806,0.2,0.1081081081081081,True,other,0.5186937398226568
CD2,0.0,12.29,0.0,2.587011872725154,0.0,0.054054054054054,False,other,0.5172124494790398
TOP2A,7.79,94.71,2.1736147116970854,4.561322786207815,0.1,0.2702702702702703,False,other,0.5165844171054632
AXL,5.38,261.38,1.8531680973566984,5.569793834652884,0.3,0.2972972972972973,False,other,0.5098581539663748
SRC,6.93,58.16,2.0706530356467567,4.080245637842599,0.3,0.2432432432432432,False,other,0.5089026161062078
JAK1,12.81,85.48,2.6253929674212007,4.4599131733309525,0.2,0.2972972972972973,False,approved,0.507791580630625
IL18,10.77,91.56,2.4655539212721855,4.527857082885421,0.1,0.2972972972972973,False,ongoing,0.5039150046157125
ADH5,48.36,80.42,3.8991403795971324,4.399620943074833,0.1,0.3783783783783784,False,other,0.5016583303181086
CXCR1,4.96,0.0,1.7850704810772584,0.0,0.1,0.054054054054054,True,other,0.5004120844209298
KIT,21.29,137.44,3.1041381473977774,4.930437018767144,0.3,0.3513513513513513,False,other,0.49966630231027637
PDGFRA,4.42,134.3,1.6900958154515549,4.907494535176743,0.2,0.2702702702702703,False,other,0.4987815595173258
IL15,31.5,27.81,3.481240089335692,3.360722549096437,0.5,0.2972972972972973,True,other,0.49864563736862566
HPSE,9.27,57.65,2.329227023940467,4.0715875750994845,0.2,0.2702702702702703,False,other,0.4985750474325954
SLC10A1,0.0,28.16,0.0,3.3727979071404572,0.0,0.1081081081081081,False,other,0.4966209118444544
IGF1R,13.29,64.15,2.659559991941776,4.176692303570854,0.2,0.2972972972972973,False,other,0.4955598366832998
GMPS,14.64,30.96,2.7498317351171653,3.464485120898074,0.2,0.2702702702702703,False,other,0.49551873237651767
TNFSF12,11.51,11.96,2.5265283244788197,2.561867690924129,0.2,0.2162162162162162,False,other,0.49523982131158806
PLA2G4A,4.45,0.0,1.6956156086751528,0.0,0.1,0.054054054054054,True,other,0.49444684770778385
HTR2A,7.67,0.0,2.1598687907924505,0.0,0.2,0.081081081081081,True,other,0.4916767899491142
HRH1,140.89,65.51,4.9550521095192215,4.19735231229633,0.4,0.4324324324324324,True,other,0.49095015049206014
CA4,19.63,10.22,3.0267463270831603,2.4176979000945504,0.2,0.2432432432432432,True,other,0.49078277625548494
OSMR,39.93,182.9,3.7118632905043114,5.214392131610276,0.4,0.4054054054054054,False,ongoing,0.4905838203977043
