gene,VDR_score,GR_score,VDR_celltypes,GR_celltypes,VDR_base_cells,GR_base_cells,VDR_experiments,GR_experiments,VDR_repro,GR_repro,VDR_dominant,repro_ratio,status
NTRK3,0.0,10.04,0,3,0,2,0,3,0.0,0.08108108108108109,False,-3.1871514155529086,other
IGF1R,13.29,64.15,2,14,2,8,2,11,0.2,0.2972972972972973,False,-0.5492457504845378,other
PDPK1,23.6,75.93,2,17,2,11,2,10,0.2,0.2702702702702703,False,-0.4164293904055157,other
ABAT,0.0,97.03,2,15,2,9,2,9,0.2,0.24324324324324326,False,-0.27013444925147684,other
IL4R,24.75,50.92,5,16,5,10,5,8,0.5,0.21621621621621623,False,1.1727948950501015,approved
CD19,83.95,15.34,2,11,2,9,1,10,0.1,0.2702702702702703,True,-1.3493151945469788,approved
VKORC1,120.19,48.52,7,16,5,12,4,11,0.4,0.2972972972972973,True,0.41598883135478565,other
SLC5A2,25.13,17.87,2,9,2,4,2,4,0.2,0.10810810810810811,True,0.8302813189071119,other
SLC6A2,0.0,0.0,0,1,0,1,0,1,0.0,0.02702702702702703,False,-1.888578717331577,other
SLC12A3,7.35,40.15,2,28,2,14,2,16,0.2,0.43243243243243246,False,-1.0750678180664432,other
CX3CL1,10.89,25.81,1,10,1,10,1,7,0.1,0.1891891891891892,False,-0.8566358248288228,other
CA7,8.49,12.51,1,2,1,2,1,2,0.1,0.05405405405405406,False,0.780141735367988,other
DHODH,19.91,36.24,2,13,2,9,2,9,0.2,0.24324324324324326,False,-0.27013444925147684,other
TRPV1,0.0,0.0,0,1,0,1,0,1,0.0,0.02702702702702703,False,-1.888578717331577,other
TNFSF12,11.51,11.96,2,7,2,7,2,8,0.2,0.21621621621621623,False,-0.1073130241426337,other
TNFSF13,15.47,48.73,6,31,5,20,5,20,0.5,0.5405405405405406,False,-0.1103515573654427,other
TP53,117.95,58.06,6,23,6,14,6,14,0.6,0.3783783783783784,True,0.6513463567344996,other
GLP2R,0.0,9.98,0,4,0,4,0,5,0.0,0.13513513513513514,False,-3.859324912356463,other
NOS2,4.35,0.0,2,6,2,5,2,6,0.2,0.16216216216216217,True,0.28662122615140956,other
SLC6A4,4.7,0.0,1,3,1,3,1,4,0.1,0.10810810810810811,True,-0.10260448523435133,other
CCL11,0.0,0.0,0,0,0,0,0,0,0.0,0.0,False,0.0,other
RARA,34.13,242.19,4,21,4,13,4,12,0.4,0.32432432432432434,False,0.29437558527066365,other
TOP2A,7.79,94.71,1,12,1,8,1,10,0.1,0.2702702702702703,False,-1.3493151945469788,other
