gene,disease,category,phase,mol_id,VDR_score,GR_score,VDR_dominant
ELANE,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL3617964,64.17,29.71,True
MARCKS,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL4297701,12.36,34.9,False
ABL1,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1946170,34.44,83.06,False
NTRK1,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1946170,10.46,79.17,False
EPHA2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1946170,21.18,53.58,False
FGFR1,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1946170,7.25,63.29,False
KIT,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1946170,21.29,137.44,False
TEK,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1946170,0.0,0.0,False
BRAF,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1946170,15.34,42.78,False
RAF1,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1946170,19.66,40.61,False
MAPK11,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1946170,4.16,27.38,False
FGFR2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1946170,5.13,13.28,False
RET,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1946170,3.91,27.19,False
FRK,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1946170,12.26,21.27,False
DDR2,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1946170,0.0,0.0,False
NR3C1,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL1159650,56.91,9.43,True
TYMS,"Pulmonary Disease, Chronic Obstructive",respiratory,3.0,CHEMBL185,10.85,10.02,True
NR3C1,"Pulmonary Disease, Chronic Obstructive",respiratory,3.0,CHEMBL650,56.91,9.43,True
TYMS,"Pulmonary Disease, Chronic Obstructive",respiratory,3.0,CHEMBL1773,10.85,10.02,True
VEGFA,"Pulmonary Disease, Chronic Obstructive",respiratory,3.0,CHEMBL1201583,110.38,11.56,True
MET,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL3334567,22.4,124.2,False
SIRT1,"Pulmonary Disease, Chronic Obstructive",respiratory,1.0,CHEMBL4297436,41.02,239.18,False
ELANE,"Pulmonary Disease, Chronic Obstructive",respiratory,3.0,CHEMBL4297879,64.17,29.71,True
EPHX2,"Pulmonary Disease, Chronic Obstructive",respiratory,1.0,CHEMBL3818875,12.61,0.0,True
PDCD1,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL2108738,0.0,76.52,False
CYSLTR1,"Pulmonary Disease, Chronic Obstructive",respiratory,3.0,CHEMBL1200681,14.82,0.0,True
ADH5,"Pulmonary Disease, Chronic Obstructive",respiratory,2.0,CHEMBL3989910,48.36,80.42,False
IL33,"Pulmonary Disease, Chronic Obstructive",respiratory,3.0,CHEMBL4594594,0.0,3.73,False
NR3C1,"Pulmonary Disease, Chronic Obstructive",respiratory,1.0,CHEMBL3666807,56.91,9.43,True
